Edge,Family,Rotation,Omega,A,B,Nu,NLL,AIC,BIC
T0_E0,Bicopfamily.student,0,0.6846680045127869,0.04549715295433998,0.8685957789421082,10.83460807800293,-264.72293689465823,-521.4458737893165,-501.03587636621785
T0_E1,Bicopfamily.student,0,1.0300089120864868,0.04558636248111725,0.9149850010871887,5.835656642913818,-559.3466686636036,-1110.6933373272072,-1090.2833399041087
T0_E2,Bicopfamily.student,0,0.7651114463806152,0.037166085094213486,0.9767778515815735,6.999764442443848,-344.0190686689529,-680.0381373379058,-659.6281399148072
T0_E3,Bicopfamily.student,0,0.7051511406898499,0.031475264579057693,0.9602245688438416,25.49094009399414,-282.3532279628157,-556.7064559256314,-536.2964585025328
T0_E4,Bicopfamily.student,0,0.5177376866340637,0.034719765186309814,0.9834914803504944,6.010974884033203,-198.71330731753756,-389.4266146350751,-369.0166172119765
T0_E5,Bicopfamily.student,0,1.175154685974121,0.05766497179865837,0.9294697642326355,4.0343546867370605,-723.5300287992541,-1439.0600575985081,-1418.6500601754096
T0_E6,Bicopfamily.student,0,0.9592357277870178,0.0651644766330719,0.9540401697158813,4.411731719970703,-526.1249299107214,-1044.249859821443,-1023.8398623983443
T0_E7,Bicopfamily.student,0,0.8369585871696472,0.07223466038703918,0.9535419344902039,6.791599273681641,-432.3480108775653,-856.6960217551306,-836.286024332032
T0_E8,Bicopfamily.student,0,0.4464244544506073,0.04475165158510208,0.9785682559013367,7.904062271118164,-144.39465361288086,-280.7893072257617,-260.3793098026631
T0_E9,Bicopfamily.student,0,0.5903251767158508,0.04211772605776787,0.9785109758377075,10.913947105407715,-236.56751546202156,-465.1350309240431,-444.7250335009445
T0_E10,Bicopfamily.student,0,-0.6206519603729248,0.08086924999952316,0.7853870987892151,5.470232009887695,-248.0868379658514,-488.1736759317028,-467.7636785086042
T0_E11,Bicopfamily.student,0,1.026693344116211,0.050252459943294525,0.9768394827842712,5.630165100097656,-580.9350696890886,-1153.870139378177,-1133.4601419550786
T0_E12,Bicopfamily.student,0,0.6191801428794861,0.0345127135515213,0.9884257316589355,6.252580642700195,-281.9944668810558,-555.9889337621116,-535.578936339013
T0_E13,Bicopfamily.student,0,1.0554441213607788,0.06123379245400429,0.9242975115776062,6.614367485046387,-589.4102942716713,-1170.8205885433426,-1150.4105911202441
T0_E14,Bicopfamily.gumbel,180,-0.3826756179332733,0.21797959506511688,0.976081132888794,,-306.89847207299147,-607.7969441459829,-592.489446078659
T0_E15,Bicopfamily.frank,0,3.680569648742676,0.6057130098342896,0.825949490070343,,-193.0969519361293,-380.1939038722586,-364.88640580493467
T0_E16,Bicopfamily.student,0,0.445773184299469,0.03948304429650307,0.8637491464614868,15.426758766174316,-120.40453812842736,-232.80907625685472,-212.39907883375614
T0_E17,Bicopfamily.student,0,-0.39333778619766235,0.024549929425120354,0.9509748220443726,24.565853118896484,-94.56129762843588,-181.12259525687176,-160.71259783377317
T0_E18,Bicopfamily.student,0,0.5495349764823914,0.03131532296538353,0.9819834232330322,11.655376434326172,-198.04684373401173,-388.09368746802346,-367.68369004492484
T0_E19,Bicopfamily.gumbel,0,-0.5533313751220703,0.08499813824892044,0.9541347026824951,,-177.04582385011355,-348.0916477002271,-332.78414963290317
T0_E20,Bicopfamily.student,0,0.7108941078186035,0.020745674148201942,0.9819608926773071,6.441195487976074,-304.24091212889164,-600.4818242577833,-580.0718268346847
T0_E21,Bicopfamily.student,0,1.530954360961914,0.047523580491542816,0.9763574004173279,5.727207183837891,-1091.9492897916318,-2175.8985795832637,-2155.488582160165
T0_E22,Bicopfamily.student,0,-0.28546932339668274,0.0450955405831337,0.8980661630630493,6.838764190673828,-70.61980051399856,-133.2396010279971,-112.82960360489852
T0_E23,Bicopfamily.gumbel,270,-0.6187852621078491,0.28753870725631714,0.854908287525177,,-159.4139576287805,-312.827915257561,-297.5204171902371
T0_E24,Bicopfamily.student,0,0.30524152517318726,0.007344305980950594,0.870031476020813,12.347375869750977,-59.78376519917661,-111.56753039835321,-91.15753297525461
T0_E25,Bicopfamily.student,0,-0.5269797444343567,0.02777668833732605,0.9518952965736389,24.241178512573242,-165.48103727206933,-322.96207454413866,-302.55207712104004
T0_E26,Bicopfamily.frank,0,3.1895864009857178,0.2610921263694763,0.9627525210380554,,-166.8726760213615,-327.745352042723,-312.4378539753991
T0_E27,Bicopfamily.student,0,0.4885702133178711,0.03534357622265816,0.989847719669342,2.9951889514923096,-242.93951990400666,-477.8790398080133,-457.4690423849147
T0_E28,Bicopfamily.student,0,0.4240933954715729,0.04520472139120102,0.9591631889343262,4.831137657165527,-127.47449665820133,-246.94899331640266,-226.53899589330408
T0_E29,Bicopfamily.student,0,0.5028799176216125,0.10098034143447876,0.8743913173675537,5.467249393463135,-185.66062186806965,-363.3212437361393,-342.9112463130407
T0_E30,Bicopfamily.student,0,0.5524140000343323,0.036227356642484665,0.9901590943336487,4.004818916320801,-233.58695092541964,-459.1739018508393,-438.76390442774067
T0_E31,Bicopfamily.student,0,0.4837856888771057,0.04500000178813934,0.9523476958274841,7.000006675720215,-142.46123636269033,-276.92247272538066,-256.51247530228204
T0_E32,Bicopfamily.gumbel,0,0.2486189603805542,0.24309197068214417,0.784146785736084,,-388.20074705763693,-770.4014941152739,-755.0939960479499
T0_E33,Bicopfamily.gumbel,270,-1.2703490257263184,0.059616103768348694,0.9795721173286438,,-73.56557476733708,-141.13114953467417,-125.82365146735022
T0_E34,Bicopfamily.student,0,-0.49255573749542236,0.02788977138698101,0.8741077184677124,13.15366268157959,-142.1612100522401,-276.3224201044802,-255.91242268138163
T0_E35,Bicopfamily.gumbel,0,-0.2830713987350464,0.3712366223335266,0.8816293478012085,,-246.85165576607304,-487.7033115321461,-472.39581346482214
T0_E36,Bicopfamily.gumbel,0,0.5122390985488892,0.2523166239261627,0.7924262285232544,,-453.9999792565736,-901.9999585131472,-886.6924604458233
T0_E37,Bicopfamily.gumbel,90,-0.25965455174446106,0.0615667961537838,0.9880802035331726,,-245.2037839084293,-484.4075678168586,-469.10006974953467
T0_E38,Bicopfamily.student,0,1.0908231735229492,0.048166222870349884,0.9732722043991089,6.601938247680664,-643.0985678073797,-1278.1971356147594,-1257.787138191661
T0_E39,Bicopfamily.student,0,-0.8512195348739624,0.06794087588787079,0.9424521327018738,6.829632759094238,-429.70535427557485,-851.4107085511497,-831.0007111280511
T0_E40,Bicopfamily.student,0,0.6218151450157166,0.025442490354180336,0.9770748615264893,10.521631240844727,-231.61088424365641,-455.22176848731283,-434.8117710642142
T0_E41,Bicopfamily.gumbel,90,-0.11605943739414215,0.270211398601532,0.9407187104225159,,-295.80942737343594,-585.6188547468719,-570.3113566795479
T0_E42,Bicopfamily.gaussian,0,0.7728171944618225,0.016871720552444458,0.9001938700675964,,-332.69732389491867,-659.3946477898373,-644.0871497225133
T0_E43,Bicopfamily.student,0,-0.6086374521255493,0.035927362740039825,0.9608018398284912,7.880659103393555,-222.31498628142978,-436.62997256285956,-416.21997513976095
T0_E44,Bicopfamily.gumbel,0,0.6899374127388,0.28926920890808105,0.7985917925834656,,-504.00317253915233,-1002.0063450783047,-986.6988470109807
T0_E45,Bicopfamily.gumbel,90,0.05970434099435806,0.06641914695501328,0.987210750579834,,-323.4132221610548,-640.8264443221096,-625.5189462547856
T0_E46,Bicopfamily.gumbel,90,-0.6332449913024902,0.35622984170913696,0.7748010754585266,,-144.71722590367895,-283.4344518073579,-268.12695374003397
T0_E47,Bicopfamily.gumbel,0,-0.008379524573683739,0.3133167028427124,0.8010265827178955,,-307.61010858082875,-609.2202171616575,-593.9127190943335
T0_E48,Bicopfamily.gumbel,0,1.2883450984954834,0.336351603269577,0.9340364933013916,,-726.6287505821275,-1447.257501164255,-1431.9500030969311
T0_E49,Bicopfamily.student,0,0.609929621219635,0.042806606739759445,0.9709223508834839,6.372476577758789,-238.43530064510762,-468.87060129021523,-448.4606038671166
